"GeneID","padj","pvalue","lfcSE","stat","log2FoldChange","baseMean","Symbol","Description"
8511,0.999854284110087,0.96884412264567,0.794191245127588,-0.0390580299741198,-0.0310195454573769,12.9739294348519,"MMP23A","matrix metallopeptidase 23A (pseudogene)"
728642,0.999854284110087,0.590503474510389,0.294826618679601,0.538106573494259,0.158648141552579,900.509632629523,"CDK11A","cyclin dependent kinase 11A"
9906,0.999854284110087,0.885804327935761,0.268083672955972,-0.143615211764823,-0.0385008934622634,797.542568102816,"SLC35E2A","solute carrier family 35 member E2A"
112268218,0.999854284110087,0.605620348795962,0.16716216350335,-0.51633515232814,-0.0863117011560037,506.633557236468,"LOC112268218","uncharacterized LOC112268218"
65220,0.999854284110087,0.329834559800355,0.135309223189833,-0.97444716687161,-0.131851689188931,6822.55109584018,"NADK","NAD kinase"
2782,0.999854284110087,0.58565117347363,0.153689501928349,-0.545148812249901,-0.0837836494315185,11776.1399984158,"GNB1","G protein subunit beta 1"
105378949,0.999854284110087,0.586576620316696,0.705841882766529,-0.543803615889841,-0.383839368094931,11.8075058343842,"GNB1-DT","GNB1 divergent transcript"
5590,0.999854284110087,0.75574361689265,0.307137876289101,0.311074985736092,0.0955429104856459,62.3426444499105,"PRKCZ","protein kinase C zeta"
100506504,0.999854284110087,0.538220023641892,0.480217850810265,0.615506885306289,0.295577393620706,23.710701146399,"PRKCZ-AS1","PRKCZ antisense RNA 1"
199990,0.999854284110087,0.803664490377212,0.202721548843164,-0.248607391519136,-0.050398075462618,454.911397800232,"FAAP20","FA core complex associated protein 20"
112268219,0.999854284110087,0.527234078338791,0.476813881445722,0.63223385466637,0.301457878224862,108.869352945589,"LOC112268219","uncharacterized LOC112268219"
6497,0.999854284110087,0.144623052786467,0.16574980032187,1.45878950240199,0.24179406873477,1398.47596278749,"SKI","SKI proto-oncogene"
79906,0.999854284110087,0.764606575164223,0.500558684686366,0.299437077839204,0.149885829829521,27.2651021541321,"MORN1","MORN repeat containing 1"
11079,0.999854284110087,0.61195762336337,0.136485027517523,-0.507281063676719,-0.0692362699350355,1605.04660171788,"RER1","retention in endoplasmic reticulum sorting receptor 1"
5192,0.999854284110087,0.645803741355133,0.188952070753157,-0.459599467604732,-0.0868422711209624,242.257653574555,"PEX10","peroxisomal biogenesis factor 10"
9651,0.999854284110087,0.895611143748879,0.37048950799787,0.13120752447523,0.0486110111884465,53.5238894072284,"PLCH2","phospholipase C eta 2"
55229,0.999854284110087,0.413578232899333,0.175916486937166,-0.817612946009731,-0.143831597136379,612.663523810043,"PANK4","pantothenate kinase 4 (inactive)"
115110,0.999854284110087,0.900856605605143,0.262883534730579,-0.124579314288054,-0.0327498504943554,607.960801718384,"TNFRSF14-AS1","TNFRSF14 antisense RNA 1"
8764,0.999854284110087,0.981493421028352,0.262767153854338,-0.0231966371804136,-0.00609531433088898,3387.934717138,"TNFRSF14","TNF receptor superfamily member 14"
100996583,0.999854284110087,0.506464651381613,0.706525277411305,0.664352617736988,0.469381917545552,10.5470229532992,"LOC100996583","uncharacterized LOC100996583"
127281,0.999854284110087,0.975469221763536,0.240012556181081,0.0307496163023114,0.0073802940103052,253.061026090974,"PRXL2B","peroxiredoxin like 2B"
79258,0.999854284110087,0.419455804328654,0.369273512285609,0.807365731058362,0.298138779206959,46.4726011861229,"MMEL1","membrane metalloendopeptidase like 1"
100287898,0.999854284110087,0.228350705194055,0.473781165940644,1.20461825752926,0.5707254425656,32.5487311144032,"TTC34","tetratricopeptide repeat domain 34"
1953,0.999854284110087,0.420227303490508,0.250050968519174,0.806026961191422,0.201547822298482,364.263741532366,"MEGF6","multiple EGF like domains 6"
127262,0.999854284110087,0.939588031517605,0.166827735032148,-0.0757876628458751,-0.0126434841359574,771.428885260908,"TPRG1L","tumor protein p63 regulated 1 like"
49856,0.999854284110087,0.429269010657617,0.164396311555098,-0.790443150042841,-0.129945938361036,496.53902575537,"WRAP73","WD repeat containing, antisense to TP73"
57212,0.999854284110087,0.288502118883727,0.214313666948064,1.06141329200271,0.227475374756517,567.931832403705,"TP73-AS1","TP73 antisense RNA 1"
388588,0.999854284110087,0.625713855733769,0.868489434601554,-0.48776845767339,-0.423621752021234,8.93333118768102,"SMIM1","small integral membrane protein 1 (Vel blood group)"
57470,0.999854284110087,0.587518782867114,0.141159975170332,-0.5424351322776,-0.0765701298038219,1109.93743269265,"LRRC47","leucine rich repeat containing 47"
9731,0.999854284110087,0.958511901215921,0.270540824300627,0.0520210743859043,0.0140738243453668,662.381033536505,"CEP104","centrosomal protein 104"
1677,0.999854284110087,0.894855265025378,0.282357781274464,-0.132163127754665,-0.0373172875191006,262.233396609243,"DFFB","DNA fragmentation factor subunit beta"
339448,0.999854284110087,0.694977577941022,0.214245984716895,0.392109135281078,0.0840078078047847,410.695379000656,"C1orf174","chromosome 1 open reading frame 174"
100133612,0.999854284110087,0.835742961020458,0.648685996293553,-0.207341762432063,-0.134499697736504,14.5404322116744,"LINC01134","long intergenic non-protein coding RNA 1134"
261734,0.999854284110087,0.443181136685121,0.249211034497209,0.766832455970169,0.191103109638361,345.633510382323,"NPHP4","nephrocystin 4"
8514,0.999854284110087,0.634234840422255,0.130508665390637,0.475774778097878,0.0620927313160805,5958.94322514984,"KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
